Maze Size,DFS Cells,BFS Cells,A* Cells
15,123,460,403
15,355,456,117
15,111,458,223
15,173,355,102
15,291,460,172
15,245,452,139
15,203,455,148
15,220,460,267
15,302,374,98
15,218,413,164
15,355,398,232
15,428,460,131
15,206,402,90
15,145,456,418
15,213,367,260
15,262,429,266
15,145,454,257
15,117,460,230
15,283,460,321
15,144,445,312
15,281,370,189
15,319,446,192
15,256,272,105
15,293,363,114
15,203,368,102
15,135,377,94
15,335,431,204
15,283,454,204
15,197,458,193
15,185,431,83
15,204,460,197
15,170,460,341
15,262,341,106
15,240,458,232
15,256,387,91
15,264,370,203
15,244,450,132
15,150,459,193
15,265,460,146
15,259,460,177
15,289,460,400
15,395,460,210
15,260,383,96
15,307,436,273
15,178,344,77
15,396,385,149
15,352,408,120
15,229,460,315
15,315,416,109
15,220,460,136
15,248,409,122
15,233,366,87
15,163,456,239
15,306,283,211
15,350,319,157
15,250,460,381
15,353,458,200
15,240,448,135
15,219,441,157
15,276,444,97
15,153,460,174
15,145,431,238
15,300,454,307
15,162,459,365
15,224,460,131
15,286,458,252
15,206,452,225
15,318,380,182
15,232,450,140
15,91,342,159
15,224,440,184
15,171,458,259
15,291,454,134
15,167,435,136
15,246,451,125
15,215,460,174
15,261,460,310
15,180,454,238
15,206,456,167
15,160,370,81
15,183,310,104
15,228,460,151
15,248,442,223
15,220,455,194
15,311,441,204
15,409,398,208
15,275,361,105
15,203,454,166
15,210,450,115
15,262,460,142
15,303,409,133
15,287,369,101
15,232,456,123
15,222,460,272
15,233,460,284
15,124,444,344
15,320,458,217
15,245,340,116
15,318,329,80
15,312,460,225
25,718,1140,167
25,553,1217,267
25,396,1262,742
25,457,1279,564
25,261,1186,602
25,688,1262,243
25,562,1147,445
25,450,1276,334
25,613,1254,294
25,481,1100,430
25,356,1280,658
25,784,1132,450
25,626,1197,579
25,350,1107,350
25,630,1279,558
25,417,1278,799
25,771,1280,324
25,551,1280,673
25,1200,1277,519
25,261,1252,613
25,662,1008,371
25,1007,1280,433
25,419,1180,598
25,497,1083,301
25,707,826,338
25,432,1095,183
25,517,948,320
25,812,1276,515
25,609,902,230
25,612,1280,503
25,380,1014,356
25,656,966,373
25,411,1278,520
25,263,1280,967
25,440,961,380
25,588,1280,1090
25,530,1280,759
25,429,1277,358
25,604,1280,1128
25,371,1280,335
25,643,1280,791
25,542,1280,727
25,473,1280,473
25,546,1172,567
25,597,1216,484
25,581,869,239
25,598,932,313
25,511,1190,194
25,564,1258,270
25,417,1280,765
25,491,1276,536
25,570,1112,163
25,355,867,410
25,1098,1239,196
25,656,1048,179
25,1118,1280,625
25,811,1055,267
25,678,1262,675
25,625,1280,648
25,323,1270,485
25,404,1174,191
25,406,1257,505
25,1129,1261,770
25,874,1280,653
25,404,1043,224
25,426,1136,404
25,380,1278,603
25,598,1204,357
25,673,1168,180
25,572,1063,243
25,386,1209,248
25,468,1269,300
25,527,821,235
25,645,1280,558
25,454,1236,270
25,253,1277,824
25,643,1269,767
25,637,1278,850
25,375,1236,702
25,656,1208,171
25,599,1278,530
25,524,1273,561
25,428,1278,227
25,246,1279,584
25,753,1273,599
25,443,1279,226
25,643,1280,910
25,937,1023,461
25,616,1280,613
25,578,1278,1199
25,525,1280,482
25,433,1275,317
25,357,1189,316
25,768,1195,382
25,886,1170,345
25,446,1100,172
25,652,1280,379
25,808,1015,389
25,349,1278,396
25,665,1280,226
50,4348,5124,2454
50,2919,4675,1007
50,1493,4662,1586
50,1624,4271,1339
50,4931,5122,1737
50,2468,5124,3596
50,2150,4994,2006
50,2085,4925,748
50,2022,5124,1915
50,1151,5124,2785
50,1498,5015,1187
50,1787,4910,2087
50,1209,5124,1498
50,1196,3907,488
50,1883,5122,2649
50,1393,5109,2220
50,1547,5094,1385
50,1962,4968,1070
50,2974,4621,999
50,2127,5092,1832
50,4608,5095,807
50,1580,5118,2038
50,1583,5093,3028
50,1523,5122,3231
50,2286,4191,1126
50,2154,5124,2566
50,1749,5124,1502
50,905,4993,1595
50,2085,5118,1215
50,1467,4846,1458
50,1818,5124,2474
50,1569,4974,1944
50,648,4910,1816
50,1074,5120,2875
50,2479,5078,1084
50,950,5124,1583
50,2576,5104,2755
50,1938,5124,1647
50,4745,5120,2969
50,1553,4763,583
50,1940,5124,2296
50,3897,5059,1578
50,1896,4862,1384
50,1143,4249,758
50,3683,5017,1406
50,2428,5124,1449
50,1400,4185,916
50,2477,5118,915
50,3005,4700,1008
50,2031,5114,1566
50,580,5037,1301
50,1728,5124,2721
50,4872,5124,2152
50,2759,5039,1843
50,1073,4957,2169
50,2815,5112,1111
50,1524,5115,2319
50,1044,5057,1545
50,2740,4578,904
50,1633,5025,1101
50,2525,5074,1975
50,1203,5019,1294
50,2140,5122,2223
50,1772,5098,1795
50,783,5120,1759
50,2764,5005,2961
50,2050,5124,2609
50,1526,5122,1919
50,1733,5124,2712
50,3132,4866,2548
50,902,5041,1176
50,1605,5124,3262
50,776,4890,2055
50,2200,4852,1120
50,4635,4656,373
50,1997,5122,1671
50,1145,5123,2745
50,1868,5124,2872
50,1971,5124,1735
50,1761,5124,637
50,972,4523,1358
50,1865,5118,1497
50,4132,5124,2218
50,4650,4591,919
50,1878,5032,1931
50,976,5117,2236
50,1559,5120,2439
50,1914,5124,2082
50,2099,5120,1161
50,2514,5124,2230
50,2117,5108,1714
50,1131,4874,1305
50,1879,5116,2640
50,1795,5060,785
50,1404,5071,478
50,1256,4669,922
50,1985,4896,672
50,1407,4991,965
50,2787,5087,2146
50,3366,5124,4497
